product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,value_price_usd,sale_price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price
P122900,Dramatically Different Moisturizing Gel,1254,CLINIQUE,95864,4.4383,3977.0,4.2 oz Pump/ 125 mL,Size,4.2 oz Pump/ 125 mL,,"['Water, Dimethicone, Isododecane, Butylene Glycol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Glycerin, Laminaria Saccharina Extract, Polygonum Cuspidatum Root Extract, Saccharomyces Lysate Extract, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract/Extrait D’orge, Helianthus Annuus (Sunflower) Seedcake, Caffeine, Trehalose, Sodium Hyaluronate, Tocopheryl Acetate, Chamomilla Recutita (Matricaria), Polysilicone-11, Silica, Propylene Glycol Dicaprate, Oleth-10, Lactobacillus Ferment, Laureth-23, Laureth-4, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Carbomer, Caprylyl Glycol, Hexylene Glycol, Tromethamine, Disodium Edta, Phenoxyethanol, Potassium Sorbate, Yellow 5 (Ci 19140), Red 4 (Ci 14700), Yellow 6 (Ci 15985) Lotion.']",32.5,,,0,0,0,0,0,"['Best for Oily Skin', 'Without Phthalates', 'Fragrance Free', 'Oil Free', 'Without Parabens']",Skincare,Moisturizers,Moisturizers,3,45.0,6.5
P443352,Mini Daily Microfoliant Exfoliator,6219,Dermalogica,110141,4.696,4598.0,0.45 oz/ 13 g,Size,0.45 oz/ 13 g,,"['Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Starch, Hydrogenated Coconut Acid, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PCA, Populus Tremuloides Bark Extract, Cyclodextrin, Sodium Isethionate, Lauryl Methacrylate/Glycol Dimethacrylate Copolymer, Maltodextrin, Melaleuca, Alternifolia (Tea Tree) Leaf Oil, Citrus Paradisi (Grapefruit) Peel Oil, Sodium Dehydroacetate, Hydrolyzed Corn Starch Hydroxyethyl Ether, Water/Aqua/Eau, Limonene, Citric Acid.']",18.0,,,0,0,0,0,0,"['Vegan', 'Good for: Dullness/Uneven Texture', 'allure 2019 Best of Beauty Award Winner', 'Salicylic Acid', 'Best for Oily, Combo, Normal Skin']",Skincare,Mini Size,,0,,
P423688,Daily Microfoliant Exfoliator,6219,Dermalogica,95311,4.696,4598.0,2.6 oz/ 74g,Size,2.6 oz/ 74g,,"['Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Sodium Lauroyl Glutamate, Oryza Sativa (Rice) Bran Extract, Oryza Sativa (Rice) Starch, Hydrogenated Coconut Acid, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PCA, Populus Tremuloides Bark Extract, Cyclodextrin, Sodium Isethionate, Lauryl Methacrylate/Glycol Dimethacrylate Copolymer, Maltodextrin, Melaleuca, Alternifolia (Tea Tree) Leaf Oil, Citrus Paradisi (Grapefruit) Peel Oil, Sodium Dehydroacetate, Hydrolyzed Corn Starch Hydroxyethyl Ether, Water/Aqua/Eau, Limonene, Citric Acid.']",65.0,,,0,0,0,0,0,"['Vegan', 'Good for: Dullness/Uneven Texture', 'allure 2019 Best of Beauty Award Winner', 'Salicylic Acid', 'Best for Oily, Combo, Normal Skin', 'Cruelty-Free']",Skincare,Cleansers,Exfoliators,2,56.0,18.0
P442745,Plantscription Retinol Night Moisturizer,3733,Origins,11217,4.5385,39.0,1 oz/ 30 mL,Size,1 oz/ 30 mL,,"['Water, caprylic/capric triglyceride, glycerin, ppg-15 stearyl ether, c12-20 acid peg-8 ester, phenyl trimethicone, niacinamide,  caprylic/capric/myristic/stearic triglyceride, hydroxyethyl urea, dimethicone, cetyl alcohol, butylene glycol, retinol, linum alpinum flower/leaf/stem extract,  illicium verum (anise) fruit/seed oil*, citrus aurantium bergamia (bergamot) fruit oil*, palargonium graveolens flower oil*, lavandula angustifolia (lavender) oil*, citrus limon (lemon) peel oil*, litsea cubeba fruit oil*, citrus nobilis (mandarin orange) peel oil*, myristica fragrans (nutmeg) kernel oil*, citrus aurantium dulcis (orange) peel oil*, rosa damascena flower oil*, carthamus tinctorius (safflower) seed oil,  hibiscus abelmoschus extract, limonene, linalool, citronellol, geraniol, citral, hordeum vulgare (barley) extract\\extrait D’orge, anogeissus leiocarpus bark extract, cynara scolymus (artichoke) leaf extract, triticum vulgare (wheat) germ extract, theobroma grandiflorum seed butter, caffeine, linoleic acid, algae extract, sigesbeckia orientalis (St. Paul Wort) extract, coffea arabica (coffee) seed oil , gelidiella acerosa extract, acetyl hexapeptide-8,  squalane, hypnea musciformis (algae) extract, sorbitol, tocopheryl acetate, trehalose,  tocopherol, sodium pca,  ammonium acryloyldimethyltaurate/vp copolymer, sodium hyaluronate, urea, behenyl alcohol, caprylyl glycol, peg-100 stearate, glyceryl stearate, potassium cetyl phosphate, acrylates/c10-30 alkyl acrylate crosspolymer, ascorbic acid, citric acid,  xanthan gum,  carbomer, sodium metabisulfite, polyquaternium-51, sodium hydroxide, disodium edta, bht, phenoxyethanol.']",73.0,,,0,0,1,0,0,"['Vegan', 'Clean at Sephora', 'Retinol', 'Good for: Anti-Aging', 'Good for: Dark spots']",Skincare,Moisturizers,Moisturizers,0,,
P421275,Salicylic Acid Acne Healing Dots,6209,Peace Out,316297,4.1779,4560.0,20 Healing Dots,Size,20 Healing Dots,,"['Salicylic Acid 0.5%, Aloe Barbadensis (Aloe Vera) Leaf Extract, Retinyl Acetate (Vitamin A), Hydrocolloid Polymer Technology.']",19.0,,,0,0,0,0,0,"['Good for: Redness', 'allure 2019 Best of Beauty Award Winner', 'Clean at Sephora', 'Good for: Acne/Blemishes', 'Salicylic Acid', 'Without Sulfates SLS & SLES']",Skincare,Treatments,Blemish & Acne Treatments,1,32.0,32.0
P428250,Oil-Absorbing Pore Treatment Strips,6209,Peace Out,102327,3.975,1562.0,,,,,"['DMAE Bitartrate, Retinyl Acetate (Vitamin A), Hydrocolloid Polymer Technology.']",19.0,,,0,0,0,0,0,"['Best for Oily Skin', 'Good for: Pores', 'Clean at Sephora', 'Best for Oily, Combo, Normal Skin', 'Without Parabens', 'Cruelty-Free']",Skincare,Treatments,Blemish & Acne Treatments,0,,
P481335,Brightening Saffron Serum - Radiant Rani,6475,RANAVAT,7269,4.7824,216.0,1 oz/ 30 mL,Size,1 oz/ 30 mL,,"['Sesame Oil (Sesamum Indicum), Rice Bran Oil (Oryza Sativa), Caprylic/Capric Triglyceride, Manjishta (Rubia Cordifolia), Saffron ( Crocus Sativus), Lodh Tree Bark (Symplocos Racemosa), Nutgrass (Cyperus Rotundus), Vetiver (Vetiveria Zizanoides), Licorice Root (Glycyrrhiza Glabra), Bay Leaf (Cinnamomum Tamala), Himalayan cherry (Prunus Cerasoides), Lotus seed (Nelumbo Nucifera), Pushkarmool (Inula Racemosa), Turmeric(Curcuma Longa), Indian Barberry (Berberis Aristata), Cobra Saffron (Mesua Ferrea), Flame Of The Forest (Butea Menosperma), Priyangu (Callicarpa Macrophylla), Banyan (Ficus Bengalensis), Mustard (Brassica Campestris), Tocopherol, Rose Essential Oil (Rosa Damascena).']",135.0,,,0,0,0,0,0,"['Vegan', 'Good for: Dullness/Uneven Texture', 'Good for: Loss of firmness', 'Clean at Sephora', 'Good for: Anti-Aging', 'Good for: Dark spots']",Skincare,Treatments,Face Serums,1,35.0,35.0
P454380,Unseen Sunscreen SPF 40 PA+++,5987,Supergoop!,302951,4.26,3262.0,2.5 oz/ 73.9 mL,Size,2.5 oz/ 73.9 mL,,"['Avobenzone, 3%, Homosalate 8%, Octisalate 5%, Octocrylene 4%, Isododecane, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Polymethylsilsesquioxane, Isohexadecane, Dicaprylyl Carbonate, Meadowfoam Estolide, Caprylic/Capric Triglyceride, Polyester-7, Neopentyl Glycol Diheptanoate, Lithothamnion Calcareum Extract, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter, Jojoba Esters, Mannitol, Olibanum, Lecithin, Microcrystalline Cellulose, Diatomaceous Earth, Zinc Sulfate, Silica, Tocopherol.']",48.0,,,1,0,0,0,1,"['Natural Finish', 'allure 2019 Best of Beauty Award Winner', 'Clean at Sephora', 'Oil Free', 'SPF']",Skincare,Sunscreen,Face Sunscreen,2,38.0,22.0
P470255,Mini Unseen Sunscreen SPF 40 PA+++,5987,Supergoop!,66960,4.2604,3260.0,0.68 oz/ 20 mL,Size,0.68 oz/ 20 mL,,"['Avobenzone, 3%, Homosalate 8%, Octisalate 5%, Octocrylene 4%, Isododecane, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Polymethylsilsesquioxane, Isohexadecane, Dicaprylyl Carbonate, Meadowfoam Estolide, Caprylic/Capric Triglyceride, Polyester-7, Neopentyl Glycol Diheptanoate, Lithothamnion Calcareum Extract, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter, Jojoba Esters, Mannitol, Olibanum, Lecithin, Microcrystalline Cellulose, Diatomaceous Earth, Zinc Sulfate, Silica, Tocopherol.']",22.0,,,0,0,0,0,1,"['Natural Finish', 'allure 2019 Best of Beauty Award Winner', 'Clean at Sephora', 'Oil Free', 'SPF']",Skincare,Mini Size,,0,,
P420699,Violet-C Radiance Mask,6041,Tatcha,96300,4.0507,651.0,1.7 oz/ 50 mL,Size,1.7 oz/ 50 mL,,"['Kaolin, Aqua/Water/Eau, Glycerin, Saccharomyces/Rice Ferment Filtrate, Propanediol, Oryza Sativa (Rice) Germ Oil, Cetearyl Alcohol, Butylene Glycol, Ascorbyl Tetraisopalmitate, Bis-Glyceryl Ascorbate, Glyceryl Stearate, Cellulose Gum, Dimethicone, Mica, Camellia Sinensis Leaf Extract, Cladosiphon Okamuranus Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Citrus Aurantium Dulcis (Orange) Juice, Citrus Limon (Lemon) Juice, Citrus Aurantifolia (Lime) Juice, Callicarpa Japonica Fruit Extract, Ziziphus Jujuba Fruit Extract, Crataegus Cuneata Fruit Extract, Sodium Stearoyl Glutamate, Tocopherol, Ethylhexylglycerin, Parfum/Fragrance, Limonene, Phenoxyethanol, Tin Oxide, Titanium Dioxide (Ci 77891), Violet 2 (Ci 60725), Carmine (Ci 75470), Ferric Ferrocyanide (Ci 77510)']",70.0,,,0,0,0,0,0,"['Good for: Dullness/Uneven Texture', 'Vitamin C', 'Clean at Sephora', 'Good for: Dark spots']",Skincare,Masks,Face Masks,0,,
